Artist,Identity
Anna Akana,Bisexual
Alpharad,Bisexual
Maria Alyokhina,Bisexual
Brett Anderson,Bisexual
Michael Angelakos,Bisexual
Angèle,Bisexual
Ängie,Bisexual
Anitta,Bisexual
Lauren Aquilina,Bisexual
Billie Joe Armstrong,Bisexual
Aurora,Bisexual
Raveena Aurora,Bisexual
Josephine Baker,Bisexual
Bali Baby,Bisexual
Azealia Banks,Bisexual
Alexander Bard,Bisexual
Kevin Barnes,Bisexual
Nathan Barr,Bisexual
Jamie Barton,Bisexual
Mark Bautista,Bisexual
BbyMutha,Bisexual
María Becerra,Bisexual
Madison Beer,Bisexual
Max Bemis,Bisexual
Taylor Bennett,Bisexual
Leonard Bernstein,Bisexual
Jehnny Beth,Bisexual
Bif Naked,Bisexual
Tyler Blackburn,Bisexual
Blaya,Bisexual
Emily Blue,Bisexual
Douwe Bob,Bisexual
Marc Bolan,Bisexual
Henriëtte Bosmans,Bisexual
Crystal Bowersox,Bisexual
Angie Bowie,Bisexual
David Bowie,Bisexual
Paul Bowles,Bisexual
Apollo Braun,Bisexual
Cait Brennan,Bisexual
Phoebe Bridgers,Bisexual
Carrie Brownstein,Bisexual
Gioia Bruno,Bisexual
Concha Buika,Bisexual
Pete Burns,Bisexual
John Cage,Bisexual
Paigey Cakey,Bisexual
Ann Hampton Callaway,Bisexual
Brooke Candy,Bisexual
Blas Cantó,Bisexual
Vanessa Carlton,Bisexual
Ana Carolina,Bisexual
Cameron Carpenter,Bisexual
Aaron Carter,Bisexual
Nell Carter,Bisexual
Tyler Carter,Bisexual
Andie Case,Bisexual
Jack Cassidy,Bisexual
Alice Caymmi,Bisexual
Cazuza,Bisexual
Leslie Cheung,Bisexual
Chika,Bisexual
MC Chris,Bisexual
Clairo,Bisexual
Jon Cozart,Bisexual
Prince Damien,Bisexual
Dave Davies,Bisexual
Frenchie Davis,Bisexual
Tanya Davis,Bisexual
Shane Dawson,Bisexual
Daya,Bisexual
Victoria De Angelis,Bisexual
Bobby DeBarge,Bisexual
Deen,Bisexual
Gabi Delgado-López,Bisexual
Skin Diamond,Bisexual
Andy Dick,Bisexual
Marlene Dietrich,Bisexual
Ani DiFranco,Bisexual
Emil Dimitrov,Bisexual
Dodie,Bisexual
Antoine Dodson,Bisexual
Sadie Dupuis,Bisexual
Eric Emerson,Bisexual
Elli Erl,Bisexual
Ceylan Ertem,Bisexual
Richard Fairbrass,Bisexual
Brenda Fassie,Bisexual
Hardy Fox,Bisexual
Sawyer Fredericks,Bisexual
Skott Freedman,Bisexual
Viktor Frisk,Bisexual
Ezra Furman,Bisexual
Angelo Garcia,Bisexual
Alison Garrigan,Bisexual
Orla Gartland,Bisexual
Girli,Bisexual
Jess Glynne,Bisexual
Kenny Greene,Bisexual
Chelcee Grimes,Bisexual
Peter Grudzien,Bisexual
Lzzy Hale,Bisexual
Halsey,Bisexual
Erin Hamilton,Bisexual
Debbie Harry,Bisexual
Grant Hart,Bisexual
Will Heard,Bisexual
Nona Hendryx,Bisexual
Joseline Hernandez,Bisexual
Missy Higgins,Bisexual
Neon Hitch,Bisexual
Dave Holland,Bisexual
Libby Holman,Bisexual
Chlöe Howl,Bisexual
Magdalen Hsu-Li,Bisexual
Heather Hunter,Bisexual
Leslie Hutchinson,Bisexual
Maja Ivarsson,Bisexual
Joe Jackson,Bisexual
Felix Jaehn,Bisexual
Duncan James,Bisexual
Lauren Jauregui,Bisexual
Jessicka,Bisexual
Ignatius Jones,Bisexual
Janis Joplin,Bisexual
Patrick Juvet,Bisexual
K.Flay,Bisexual
Joshua Kadison,Bisexual
Florina Kaja,Bisexual
Juba Kalamka,Bisexual
Candye Kane,Bisexual
Kesha,Bisexual
Iosif Kotek,Bisexual
Nina Kraljić,Bisexual
Daniel Küblböck,Bisexual
Steve Lacy,Bisexual
Lady Gaga,Bisexual
Shona Laing,Bisexual
Låpsley,Bisexual
Storm Large,Bisexual
Dyanna Lauren,Bisexual
Duncan Laurence,Bisexual
Marc Lavoine,Bisexual
Peter Max Lawrence,Bisexual
Georgette Leblanc,Bisexual
Sook-Yin Lee,Bisexual
Paul Lekakis,Bisexual
Ivy Levan,Bisexual
Lights,Bisexual
Lil Lotus,Bisexual
Lil Peep,Bisexual
Maggie Lindemann,Bisexual
Anne Linnet,Bisexual
Little Richard,Bisexual
Tove Lo,Bisexual
Danielle LoPresti,Bisexual
Loreen,Bisexual
Lowell,Bisexual
Ludmilla,Bisexual
Jean-Baptiste Lully,Bisexual
Billy Mackenzie,Bisexual
Madame,Bisexual
Deva Mahal,Bisexual
Jim Marcus,Bisexual
Melanie Martinez,Bisexual
Lizzie Marvelly,Bisexual
Zsuzsi Mary,Bisexual
Lebo Mathosa,Bisexual
Phil May,Bisexual
Seanan McGuire,Bisexual
Bonnie McKee,Bisexual
Les McKeown,Bisexual
Neal Medlyn,Bisexual
Mel B,Bisexual
George Melly,Bisexual
Mélovin,Bisexual
Daniela Mercury,Bisexual
Freddie Mercury,Bisexual
Andy Mientus,Bisexual
Donna Missal,Bisexual
Brian Molko,Bisexual
Janelle Monáe,Bisexual
Victoria Monét,Bisexual
Tana Mongeau,Bisexual
Lane Moore,Bisexual
Morrissey,Bisexual
Jon Moss,Bisexual
Jason Mraz,Bisexual
Doris Muramatsu,Bisexual
Mxmtoon,Bisexual
Billie Myers,Bisexual
Gianna Nannini,Bisexual
Mónica Naranjo,Bisexual
Meshell Ndegeocello,Bisexual
Sheila Nicholls,Bisexual
Christina Novelli,Bisexual
Laura Nyro,Bisexual
Sinéad O'Connor,Bisexual
Musa Okwonga,Bisexual
Joan Osborne,Bisexual
Adonxs,Gay
Max Adrian,Gay
Agoney,Gay
Rolando Alarcón,Gay
Pablo Alborán,Gay
Peter Allen,Gay
David Archuleta,Gay
Alfie Arcuri,Gay
Vardaan Arora,Gay
Azis,Gay
Jean-Pierre Barda,Gay
Michael Ben David,Gay
Bob Benny,Gay
Christer Björkman,Gay
Tuure Boelius,Gay
Bola de Nieve,Gay
Bernardo Bonezzi,Gay
Mark Bradshaw,Gay
Erlend Bratland,Gay
Scott Brennan,Gay
JJ Brine,Gay
Jos Brink,Gay
Sylvano Bussotti,Gay
Reda Caire,Gay
Oliver Callan,Gay
Anthony Callea,Gay
Tim Campbell,Gay
Magnus Carlsson,Gay
Marco Carta,Gay
Immanuel Casto,Gay
Philip Chevron,Gay
Jan Cina,Gay
Adriano Cintra,Gay
Lia Clark,Gay
Al Conti,Gay
Edson Cordeiro,Gay
Guy Cuevas,Gay
Lucio Dalla,Gay
Darin,Gay
Dave,Gay
Casper de Vries,Gay
Timo Descamps,Gay
Juan Pablo Di Pace,Gay
Dotan,Gay
André van Duin,Gay
Esteman,Gay
Falete,Gay
Mark Feehily,Gay
Tiziano Ferro,Gay
Horacio Franco,Gay
Frederick the Great,Gay
Peter Frödin,Gay
Rafael de la Fuente,Gay
Gaahl,Gay
Facundo Gambandé,Gay
Jason Gardiner,Gay
Vasil Garvanliev,Gay
Stephen Gately,Gay
Stéphane Grappelli,Gay
Gloria Groove,Gay
Jean Guidoni,Gay
Nicholas Hamilton,Gay
Vincent Hanley,Gay
Bilal Hassani,Gay
Darren Hayes,Gay
Hans Werner Henze,Gay
Tom Hugo,Gay
Axel Hirsoux,Gay
Tony Holiday,Gay
Holland,Gay
Hush,Gay
Iota,Gay
Philippe Jaroussky,Gay
Patrik Jean,Gay
Gerard Joling,Gay
Jónsi,Gay
Johnny Jordaan,Gay
Bart Kaëll,Gay
Brian Kennedy,Gay
Johannes Kerkorrel,Gay
Ki-Yo,Gay
Justus Köhncke,Gay
Uwe Kröger,Gay
Chet Lam,Gay
Jeppe Laursen,Gay
Paul de Leeuw,Gay
Yoann Lemoine,Gay
Ivri Lider,Gay
Ron Link,Gay
Hannu Lintu,Gay
Reg Livermore,Gay
Lluís Llach,Gay
Jamai Loman,Gay
Robert Long,Gay
Andreas Lundstedt,Gay
Paul Mac,Gay
Brendan Maclean,Gay
Jeangu Macrooy,Gay
Cristiano Malgioglio,Gay
Scott Matthew,Gay
Doron Medalie,Gay
Michal,Gay
Ioan Luchian Mihalea,Gay
Kenichi Mikawa,Gay
Akihiro Miwa,Gay
Emmanuel Moire,Gay
Boris Moiseev,Gay
Jacques Morali,Gay
Billy More,Gay
Federico Moura,Gay
Zoltán Mujahid,Gay
Bashar Murad,Gay
Albert Nabonibo,Gay
Benny Neyman,Gay
Offer Nissim,Gay
Klaus Nomi,Gay
Robert Odeman,Gay
Okkar Min Maung,Gay
Stefan Olsdal,Gay
Paul Oscar,Gay
Ferdi Özbeğen,Gay
Geoffrey Parsons,Gay
Cauby Peixoto,Gay
Andrzej Piaseczny,Gay
Peter Plate,Gay
Yehuda Poliker,Gay
Le Pustra,Gay
Pongsak Rattanapong,Gay
Raymix,Gay
Eddie Razaz,Gay
Ivan Rebroff,Gay
Rio Reiser,Gay
Sheldon Riley,Gay
Pablo Ruiz,Gay
Renato Russo,Gay
Daniel Schuhmacher,Gay
Tony Sheldon,Gay
Bobby Short,Gay
Jendrik Sigwart,Gay
Jari Sillanpää,Gay
Silva,Gay
Sebastián Silva,Gay
Terence Siufay,Gay
Troye Sivan,Gay
Harel Skaat,Gay
Kim David Smith,Gay
Rickard Söderberg,Gay
Wim Sonneveld,Gay
Sam Sparro,Gay
Hovi Star,Gay
Sławomir Starosta,Gay
Edward Tarletski,Gay
Shahar Tavoch,Gay
Jay Tewake,Gay
Tomas Thordarson,Gay
Ronnie Tober,Gay
Tooji,Gay
Hörður Torfason,Gay
Charles Trenet,Gay
António Variações,Gay
Glen Vella,Gay
Vice Ganda,Gay
Jack Vidgen,Gay
Pavel Vítek,Gay
Božo Vrećo,Gay
Sebastian Walldén,Gay
Fintan Warfield,Gay
Jonathon Welch,Gay
Juliusz Wertheim,Gay
Rikard Wolff,Gay
Anthony Wong Yiu-ming,Gay
Conchita Wurst,Gay
Mika X,Gay
Aaron Yan,Gay
Yeho,Gay
Oscar Zia,Gay
Piotr Zioła,Gay
Eden Atwood,Intersex
Lisa Lee Dark,Intersex
Vaginal Davis,Intersex
Florian-Ayala Fauna,Intersex
Ana Roxanne,Intersex
Reuben Zellman,Intersex
Saara Aalto,Lesbian
Julia Alfrida,Lesbian
Corinne Allal,Lesbian
Alma,Lesbian
Flor Amargo,Lesbian
Amplify Dot,Lesbian
Diana Arbenina,Lesbian
Robyn Archer,Lesbian
Efva Attling,Lesbian
Courtney Barnett,Lesbian
Sotiria Bellou,Lesbian
Lou Bennett,Lesbian
Wallis Bird,Lesbian
Renata Borgatti,Lesbian
Da Brat,Lesbian
Monique Brumby,Lesbian
Barbara Butch,Lesbian
Kaye Cal,Lesbian
Anna Calvi,Lesbian
Calypso Rose,Lesbian
Celeste Carballo,Lesbian
Rachel Carns,Lesbian
Deborah Cheetham,Lesbian
Enno Cheng,Lesbian
Ginni Clemmens,Lesbian
Martha Davis Coe,Lesbian
Beccy Cole,Lesbian
Michelle Courtens,Lesbian
Eva Dahlgren,Lesbian
Marie-Louise Damien,Lesbian
Hazell Dean,Lesbian
Stormé DeLarverie,Lesbian
Alicia Delgado,Lesbian
L Devine,Lesbian
Lucy Diakovska,Lesbian
Iara Dias dos Santos,Lesbian
Zélia Duncan,Lesbian
Beatrice Eli,Lesbian
Cássia Eller,Lesbian
Shelly Fairchild,Lesbian
G Flip,Lesbian
Rose Fostanes,Lesbian
Corina Freire,Lesbian
Maria Gadú,Lesbian
Girl in Red,Lesbian
Debbie Googe,Lesbian
Kai Gullmar,Lesbian
Marika Hackman,Lesbian
Hanne Haller,Lesbian
Leanne Harte,Lesbian
Denise Ho,Lesbian
Honey G,Lesbian
Silvana Imam,Lesbian
Rita Indiana,Lesbian
Elly Jackson,Lesbian
The Japanese House,Lesbian
Rona Kenan,Lesbian
Emmy Krüger,Lesbian
Lady Sovereign,Lesbian
Ladyhawke,Lesbian
Wanda Landowska,Lesbian
Catherine Lara,Lesbian
Naomi Lareine,Lesbian
Vange Leonel,Lesbian
Lippy Lou,Lesbian
Donna McCaul,Lesbian
Horse McDonald,Lesbian
Javiera Mena,Lesbian
Lída Merlínová,Lesbian
Sandra Mihanovich,Lesbian
Anika Moa,Lesbian
Heidi Mortenson,Lesbian
Siiri Nordin,Lesbian
O'Hooley & Tidow,Lesbian
Ibolya Oláh,Lesbian
Ellen Oléria,Lesbian
Kerstin Ott,Lesbian
Temmie Ovwasa,Lesbian
Alex Parks,Lesbian
Heather Peace,Lesbian
Peach PRC,Lesbian
Inbal Perlmuter,Lesbian
Elena Pogrebizhskaya,Lesbian
Qiao Qiao,Lesbian
Jordan Raskopoulos,Lesbian
Yehudit Ravitz,Lesbian
Sheryn Regis,Lesbian
Angela Ro Ro,Lesbian
Lakeyah,Lesbian
Ruby Rose,Lesbian
Giuni Russo,Lesbian
Luiza Sá,Lesbian
Eugenie Schumann,Lesbian
Marija Šerifović,Lesbian
Shura,Lesbian
Debbie Smith,Lesbian
Ethel Smyth,Lesbian
Suzy Solidor,Lesbian
Lucy Spraggan,Lesbian
Svetlana Surganova,Lesbian
Tuva Syvertsen,Lesbian
Clare Teal,Lesbian
Alice Temple,Lesbian
Mahinārangi Tocker,Lesbian
Topp Twins,Lesbian
Jools Topp,Lesbian
Lynda Topp,Lesbian
Chavela Vargas,Lesbian
Felicita Vestvali,Lesbian
Claire Waldoff,Lesbian
María Elena Walsh,Lesbian
Josephine Wiggs,Lesbian
Anka Wolbert,Lesbian
Suzie Wong,Lesbian
Yaeji,Lesbian
Yasmine,Lesbian
Natalia Zamilska,Lesbian
Courtney Act,Pansexual
Chen Aharoni,Pansexual
Adeem the Artist,Pansexual
Ashnikko,Pansexual
Bob the Drag Queen,Pansexual
Boyfriend,Pansexual
Brooke Candy,Pansexual
Christine and the Queens,Pansexual
Cookiee Kawaii,Pansexual
Miley Cyrus,Pansexual
Frances Forever,Pansexual
Preta Gil,Pansexual
Camila Grey,Pansexual
Dalton Harris,Pansexual
Angel Haze,Pansexual
Chlöe Howl,Pansexual
Jetty Bones,Pansexual
Lady Leshurr,Pansexual
Demi Lovato,Pansexual
Austin Lucas,Pansexual
Declan McKenna,Pansexual
Janelle Monáe,Pansexual
Kailee Morgue,Pansexual
Renato Russo,Pansexual
Rina Sawayama,Pansexual
JoJo Siwa,Pansexual
Cayley Spivey,Pansexual
Caitlin Stasey,Pansexual
Storry,Pansexual
Bella Thorne,Pansexual
Brendon Urie,Pansexual
Yungblud,Pansexual
Dianna Agron,Queer
Chino Amobi,Queer
Álex Anwandter,Queer
Durand Bernarr,Queer
Rebecca Black,Queer
Bright Light Bright Light,Queer
Dai Burger,Queer
Dyllón Burnside,Queer
Dove Cameron,Queer
Chaz Cardigan,Queer
Cœur de pirate,Queer
Bradford Cox,Queer
Cry Club,Queer
André De Shields,Queer
Dreamcrusher,Queer
Karin Dreijer,Queer
Dorian Electra,Queer
Electrosexual,Queer
Fat Mike,Queer
Nicole Fiorentino,Queer
Nesey Gallons,Queer
Kiran Gandhi,Queer
Girl in Red,Queer
Girli,Queer
Carlie Hanson,Queer
Eleanor Hardwick,Queer
Imbi the Girl,Queer
Jade Elektra,Queer
Ryland James,Queer
Jax Anderson,Queer
Mykal Kilgore,Queer
Chester Lockhart,Queer
Keiynan Lonsdale,Queer
Demi Lovato,Queer
Casey Manierka-Quaile,Queer
Casey Mecija,Queer
Kailee Morgue,Queer
Heidi Mortenson,Queer
Nappy Nina,Queer
Lauren O'Connell,Queer
Joy Oladokun,Queer
Orion Sun,Queer
Pieces of a Man,Queer
Ben J. Pierce,Queer
Derek Piotr,Queer
Tyler Posey,Queer
Allison Russell,Queer
Ali Sethi,Queer
Sia,Queer
Tika Simone,Queer
Natalie Sims,Queer
Be Steadwell,Queer
Jamie Stewart,Queer
Michael Stipe,Queer
Tash Sultana,Queer
Verity Susman,Queer
Holly Throsby,Queer
Rosie Tucker,Queer
J.R. Uretsky,Queer
Mathew V,Queer
Tim'm T. West,Queer
Kalil Wilson,Queer
Zebra Katz,Queer
Calpernia Addams,Transgender women
Aderet,Transgender women
Aja,Transgender women
Nadia Almada,Transgender women
Barbra Amesbury,Transgender women
Adèle Anderson,Transgender women
Anohni,Transgender women
Arca,Transgender women
Lauren Auder,Transgender women
Baby Dee,Transgender women
Backxwash,Transgender women
Sophia Barclay,Transgender women
Black Dresses,Transgender women
Cait Brennan,Transgender women
Tona Brown,Transgender women
Sara Davis Buechner,Transgender women
Mya Byrne,Transgender women
Ethel Cain,Transgender women
Mina Caputo,Transgender women
Wendy Carlos,Transgender women
Ceréna,Transgender women
Coccinelle,Transgender women
Jayne County,Transgender women
Cara Cunningham,Transgender women
Dana International,Transgender women
Marumaru,Transgender women
Katie Dey,Transgender women
Shea Diamond,Transgender women
Honey Dijon,Transgender women
Electra Elite,Transgender women
Beth Elliott,Transgender women
Bülent Ersoy,Transgender women
Zi Faámelu,Transgender women
Bibiana Fernández,Transgender women
Marie France,Transgender women
Marcie Free,Transgender women
Ezra Furman,Transgender women
Teddy Geiger,Transgender women
Laura Jane Grace,Transgender women
Paula Grossman,Transgender women
Harisu,Transgender women
Ai Haruna,Transgender women
Sarah Hennies,Transgender women
Hunter Hunt-Hendrix,Transgender women
Juliana Huxtable,Transgender women
Chase Icon,Transgender women
Jordana,Transgender women
Lou Killen,Transgender women
Margaret Killjoy,Transgender women
Chris Korda,Transgender women
Left at London,Transgender women
Amanda Lepore,Transgender women
Liniker,Transgender women
Linn da Quebrada,Transgender women
Devi McCallion,Transgender women
Trevi Moran,Transgender women
Marcelly Morena,Transgender women
Angela Morley,Transgender women
Ataru Nakamura,Transgender women
Naomy,Transgender women
Nero's Day at Disneyland,Transgender women
Bell Nuntita,Transgender women
Octo Octa,Transgender women
Oli London,Transgender women
Dee Palmer,Transgender women
Peppermint,Transgender women
Abigail Pereira,Transgender women
Kim Petras,Transgender women
Lena Raine,Transgender women
Jordan Raskopoulos,Transgender women
Katey Red,Transgender women
Macy Rodman,Transgender women
Ada Rook,Transgender women
Deena Kaye Rose,Transgender women
Shyraa Roy,Transgender women
Nomi Ruiz,Transgender women
Gavilán Rayna Russom,Transgender women
Scarlett la Queen,Transgender women
Jackie Shane,Transgender women
Susy Shock,Transgender women
Vivek Shraya,Transgender women
Ahya Simone,Transgender women
Breanna Sinclairé,Transgender women
Sophie,Transgender women
Spike Fuck,Transgender women
Yollada Suanyot,Transgender women
Superknova,Transgender women
Cindy Thái Tài,Transgender women
Kerstin Thieme,Transgender women
Titica,Transgender women
Varien,Transgender women
Vektroid,Transgender women
Venus Flytrap,Transgender women
Zemmoa,Transgender women
Alexander James Adams,Transgender men
Sam Bettens,Transgender men
Lucas Bouk,Transgender men
Lynn Breedlove,Transgender men
Willmer Broadnax,Transgender men
Meryn Cadell,Transgender men
Ryan Cassata,Transgender men
Cavetown,Transgender men
Quinn Christopherson,Transgender men
ElyOtto,Transgender men
Ash Gray,Transgender men
Beverly Glenn-Copeland,Transgender men
Katastrophe,Transgender men
Ed Le Brocq,Transgender men
Holden Madagame,Transgender men
Rinu,Transgender men
Ice Seguerra,Transgender men
Lucas Silveira,Transgender men
Noah Skaalum,Transgender men
Billy Tipton,Transgender men
Jake Zyrus,Transgender men
Courtney Act,Non-binary
Adult Mom,Non-binary
Abdu Ali,Non-binary
Taylor Alxndr,Non-binary
Holland Andrews,Non-binary
Anjimile,Non-binary
Arca,Non-binary
Adeem the Artist,Non-binary
Ashnikko,Non-binary
Avu-chan,Non-binary
Azis,Non-binary
B-Complex,Non-binary
Grace Semler Baldridge,Non-binary
Kevin Barnes,Non-binary
Jazmin Bean,Non-binary
Emily Blue,Non-binary
Mal Blum,Non-binary
Justin Vivian Bond,Non-binary
Violet Chachki,Non-binary
Christine and the Queens,Non-binary
Lia Clark,Non-binary
Claud,Non-binary
Shea Couleé,Non-binary
Bradford Cox,Non-binary
Crywank,Non-binary
Kat Cunning,Non-binary
Miley Cyrus,Non-binary
Jesse Dangerously,Non-binary
Honey Davenport,Non-binary
Vaginal Davis,Non-binary
Kimya Dawson,Non-binary
Divina de Campo,Non-binary
Adore Delano,Non-binary
DijahSB,Non-binary
Dreamcrusher,Non-binary
Karin Dreijer,Non-binary
Meg Duffy,Non-binary
Daisy Eagan,Non-binary
Dorian Electra,Non-binary
Ayin Es,Non-binary
Florian-Ayala Fauna,Non-binary
Logan February,Non-binary
Felicita,Non-binary
Melissa Ferrick,Non-binary
G Flip,Non-binary
Frances Forever,Non-binary
Flora Gionest,Non-binary
Keara Graves,Non-binary
Evan Greer,Non-binary
Grey Gritt,Non-binary
Gloria Groove,Non-binary
Angel Haze,Non-binary
Johanna Hedva,Non-binary
Beth Jeans Houghton,Non-binary
Jana Hunter,Non-binary
Imbi the Girl,Non-binary
Invincible,Non-binary
IRAWniQ,Non-binary
E. Jane,Non-binary
I. Jordan,Non-binary
Kaiit,Non-binary
Kehlani,Non-binary
Kimmortal,Non-binary
Kindness,Non-binary
King Princess,Non-binary
Diana King,Non-binary
Moore Kismet,Non-binary
Kylie V,Non-binary
Left at London,Non-binary
Ginny Lemon,Non-binary
CN Lester,Non-binary
Chester Lockhart,Non-binary
Kellie Loder,Non-binary
Russell Louder,Non-binary
Demi Lovato,Non-binary
Pauli Lovejoy,Non-binary
Bree Lowdermilk,Non-binary
Brigette Lundy-Paine,Non-binary
Taylor Mac,Non-binary
Honey Mahogany,Non-binary
Becca Mancari,Non-binary
Toby Marlow,Non-binary
Mica Levi,Non-binary
Bunny Michael,Non-binary
Myst Milano,Non-binary
Janelle Monáe,Non-binary
Jinkx Monsoon,Non-binary
Chloe Moriondo,Non-binary
Evelyn Morris,Non-binary
Barb Morrison,Non-binary
Nakhane,Non-binary
Richard O'Brien,Non-binary
Lauren O'Connell,Non-binary
Tunde Olaniran,Non-binary
Oli London,Non-binary
Andrew O'Neill,Non-binary
Openside,Non-binary
Our Lady J,Non-binary
Temmie Ovwasa,Non-binary
Jerry Paper,Non-binary
Paperboy Prince,Non-binary
Trisha Paytas,Non-binary
Petal,Non-binary
Planningtorock,Non-binary
Genesis P-Orridge,Non-binary
Ppcocaine,Non-binary
Princess Nokia,Non-binary
Dominique Provost-Chalkley,Non-binary
Chris Pureka,Non-binary
Daniel Quasar,Non-binary
Frances Quinlan,Non-binary
Sara Ramirez,Non-binary
Amy Ray,Non-binary
Ronya,Non-binary
Devon Rose,Non-binary
Lawrence Rothman,Non-binary
Roxen,Non-binary
Rykka,Non-binary
Dua Saleh,Non-binary
JD Samson,Non-binary
RaFia Santana,Non-binary
Daniel Sea,Non-binary
Shamir,Non-binary
Hugh Sheridan,Non-binary
Sarah Shook,Non-binary
Sir Babygirl,Non-binary
Sister Ray,Non-binary
Sam Smith,Non-binary
Soak,Non-binary
Ivy Sole,Non-binary
Cayley Spivey,Non-binary
Rae Spoon,Non-binary
Joanna Sternberg,Non-binary
Courtney Stodden,Non-binary
Rebecca Sugar,Non-binary
Tash Sultana,Non-binary
Eliot Sumner,Non-binary
Kae Tempest,Non-binary
Nik Thakkar,Non-binary
T. Thomason,Non-binary
Told Slant,Non-binary
Torres,Non-binary
Justin Tranter,Non-binary
Stephen Trask,Non-binary
Trinity the Tuck,Non-binary
Rosie Tucker,Non-binary
Yves Tumor,Non-binary
Hikaru Utada,Non-binary
D. W. Waterson,Non-binary
John-Allison Weiss,Non-binary
Julia Weldon,Non-binary
Dorian Wood,Non-binary
Yanis,Non-binary
Yeule,Non-binary
Charlyne Yi,Non-binary
Reuben Zellman,Non-binary
Cavetown,Aromantic
John Callaghan,Aromantic
MAKSI,Aromantic
Lee Porteous,Aromantic
Donovan Funk,Aromantic
Max Lizanich,Aromantic
Michaela Coel,Aromantic
Moses Sumney,Aromantic
David Archuleta,Asexual
John Frusciante,Asexual
Ana Gabriel,Asexual
Deerhunter,Asexual
Cavetown,Asexual
Dearlie,Asexual
Skull Puppies,Asexual
Sad13,Asexual
Speedy Ortiz,Asexual
The Breeders,Asexual
Summer Luk,Asexual
Remi Wolf,Bisexual
Elton John,Gay
